terms,terms_counts,doc_counts,sentiment,tags
结账,6,5,0,s
量少,4,4,-1,t
清静,4,4,1,e
明亮,4,4,1,e
属于,4,4,0,d
厨师,4,4,0,t
锅底,4,4,0,d
蚊子,4,4,-1,e
人民商场,4,4,0,d
尝尝,4,4,0,d
靠近,4,4,0,d
油烟味,4,4,-1,e
理想,4,4,0,d
挺快,4,4,1,s
关系,4,4,0,d
情况,4,4,0,d
靠,4,4,0,d
点菜,4,4,0,s
发现,4,4,0,d
楼梯,5,4,0,e
独特,4,4,1,g
超赞,4,4,3,g
蛋炒饭,4,4,0,d
太高,4,4,0,d
没换,4,4,-1,g
孩子,4,4,0,c
烟味,4,4,-1,e
服务到位,4,4,1,s
不停,4,4,0,d
没法,4,4,0,d
赠送,4,4,0,d
聚聚,4,4,0,c
正常,4,4,0,d
总之,4,4,0,d
火锅店,4,4,0,d
近,4,4,0,d
食欲,4,4,1,t
小菜,4,4,0,d
首先,4,4,0,d
大人,4,4,0,c
小吃,4,4,0,d
红汤,4,4,0,d
冷菜,4,4,0,d
很酸爽,4,4,2,t
桌,4,4,0,d
可是,4,4,0,d
只要,4,4,0,d
人手,4,4,0,d
买单,4,4,0,s
喊,4,4,0,d
先,4,4,0,d
写,4,4,0,d
棒棒,4,4,1,g
一锅,4,4,0,d
离家近,4,4,1,e
擦,4,4,0,d
很小,4,4,-1,e
稍差,4,4,-1,g
很挤,4,4,-1,e
家人,4,4,0,c
微,4,4,0,d
请,4,4,0,d
楼,4,4,0,d
忘记,4,4,0,d
稍贵,4,4,-1,p
烤,4,4,0,d
自助,4,4,0,d
湿滑,4,4,-1,e
优,4,4,1,g
洗手间,4,4,0,e
就要,4,4,0,d
几乎,4,4,0,d
错,4,4,0,d
总是,4,4,0,d
广场,4,4,0,d
美中不足,4,4,-1,g
下班,4,4,0,c
姐妹,4,4,0,c
大厅,4,4,0,d
牛肉,4,4,0,d
小店,4,4,0,d
西餐,3,3,0,d
菜单,3,3,0,d
儿童,3,3,0,c
尝,3,3,0,d
好的,3,3,0,d
不了,3,3,0,d
稍显,3,3,0,d
广济,3,3,0,d
宝带,3,3,0,d
遗憾,3,3,-1,g
对面,3,3,0,d
活杀,3,3,0,d
坐下,3,3,0,d
看到,3,3,0,d
特地,3,3,0,d
闷热,3,3,-1,e
地板,3,3,0,e
学校,3,3,0,d
似乎,3,3,0,d
不油,3,3,1,t
代金券,4,3,0,d
坏,3,3,-1,g
样子,3,3,0,d
房子,3,3,0,d
强烈推荐,3,3,3,g
卖,3,3,0,d
火爆,3,3,1,g
女服务员,3,3,0,s
闹,3,3,0,d
搞好,3,3,0,d
为主,3,3,0,d
听,3,3,0,d
可口,3,3,0,d
禁烟,3,3,0,e
字,3,3,0,d
有股,3,3,0,d
文星,3,3,0,d
角落里,3,3,0,e
分,3,3,0,d
说话,3,3,0,d
赞赞赞,3,3,2,g
洋葱,3,3,0,d
简陋,3,3,-1,e
出,3,3,0,d
折扣,3,3,0,d
坐满,3,3,0,e
品种,3,3,0,d
容易,3,3,0,d
不少,3,3,0,d
等待时间,3,3,0,e
边,4,3,0,d
桌面,3,3,0,e
印象,3,3,0,d
最爱,3,3,2,g
圆融,3,3,1,g
幽雅,3,3,1,e
亮堂,3,3,1,e
饱,4,3,1,t
进一步提高,3,3,0,d
头,3,3,0,d
汤底,3,3,0,t
热死了,3,3,-2,e
单位,3,3,0,d
杀,3,3,0,d
鱼刺,3,3,0,d
总的来说,3,3,0,d
脏脏,4,3,-1,e
欠佳,3,3,-1,g
类似,3,3,0,d
勤快,3,3,1,s
结果,3,3,0,d
干,3,3,0,d
良好,3,3,1,g
出奇,3,3,2,g
点评,3,3,0,d
紧,3,3,0,d
选好,3,3,0,d
餐,3,3,0,d
煮,3,3,0,d
白菜,3,3,0,d
老板,3,3,0,d
味精,3,3,0,t
离家,3,3,0,e
很腥,3,3,-2,t
服,3,3,0,d
老人,3,3,0,c
大概,3,3,0,d
花生,3,3,0,d
太热,3,3,-2,e
蔬菜,3,3,0,d
老是,3,3,0,d
一流,3,3,2,g
格调,3,3,0,d
挺嫩,3,3,1,t
回家,3,3,0,d
小孩子,3,3,0,c
预约,3,3,0,d
腥气,3,3,-1,t
讲话,3,3,0,d
或,3,3,0,d
差些,3,3,-1,g
胃口,3,3,0,t
菜量,3,3,0,t
完鱼,3,3,0,d
体验,3,3,0,d
腥,3,3,-1,t
清洁,3,3,1,e
略差,3,3,-1,g
清淡,3,3,1,t
太油,3,3,-1,t
噪杂,3,3,-1,e
关注,3,3,0,d
点鱼,3,3,0,d
加点,3,3,0,d
卡,3,3,0,d
弄,3,3,0,d
碗筷,3,3,0,s
团,3,3,0,d
人去,3,3,0,d
人少,3,3,0,d
茶水,3,3,0,s
偏,3,3,0,d
而,3,3,0,d
新苏,3,3,0,d
是因为,3,3,0,d
太重,3,3,-1,t
力度,3,3,0,d
大堂,3,3,0,d
太酸,3,3,-1,t
很闷,3,3,-1,e
风格,3,3,0,d
打包,3,3,0,s
质量,3,3,0,d
重新,3,3,0,d
比桐,3,3,0,d
挑选,3,3,0,d
服务业,3,3,0,s
淡,3,3,0,t
玲珑,3,3,0,d
略显,3,3,0,d
锅,3,3,0,d
臭,3,3,-1,e
会经,3,3,0,d
杠杠,3,3,1,g
宽,3,3,0,d
店员,3,3,0,s
高峰期,3,3,0,s
鲜嫩,3,3,1,t
大点,3,3,0,d
粉条,3,3,0,d
电影,3,3,0,d
切,3,3,0,d
锅里,3,3,0,d
失望,3,3,-2,g
量足,2,2,1,t
鱼锅,2,2,0,d
店门口,2,2,0,d
上乘,2,2,1,g
大众,2,2,0,d
外加,2,2,0,d
排,2,2,0,d
觉,2,2,0,d
压根,2,2,0,d
充值,2,2,0,d
情调,2,2,0,d
还给,2,2,0,d
城,3,2,0,d
偏少,2,2,-1,g
点单,2,2,0,s
约会,2,2,0,c
折,2,2,0,d
回去,2,2,0,d
精致,2,2,1,t
至少,2,2,0,d
料,2,2,0,d
装饰,2,2,0,d
愿意,2,2,1,g
中好,2,2,0,d
停车场,2,2,0,e
同时,2,2,0,d
很漂亮,2,2,2,g
正,2,2,0,d
离,2,2,0,d
音乐,2,2,0,d
享受,2,2,1,g
健康,2,2,1,t
帮忙,2,2,0,d
付款,2,2,0,s
不好不坏,2,2,0,g
洗,2,2,0,d
比丽丰,2,2,0,d
爽滑,2,2,1,t
闻到,2,2,0,d
美食,2,2,1,t
没用,2,2,0,d
难受,2,2,-1,g
试一下,2,2,0,d
皮蛋,2,2,0,d
行吧,2,2,0,d
进一步,2,2,0,d
素质,2,2,0,s
宽粉,2,2,0,d
要用,2,2,0,d
特意,2,2,0,d
相城店,2,2,0,d
人数,2,2,0,d
超,2,2,3,g
两层楼,2,2,0,d
值,2,2,0,d
越来越,2,2,2,g
脚,2,2,0,d
烧,2,2,0,d
进来,2,2,0,d
过得去,2,2,0,d
交通,2,2,0,e
这是,2,2,0,d
羊肉,2,2,0,d
制止,2,2,0,d
信号,2,2,0,d
汤鲜,2,2,1,t
鲜,2,2,1,t
居民,2,2,0,d
小虫子,2,2,-2,e
下雨,2,2,0,d
人桌,2,2,0,d
白色,2,2,0,d
礼貌,2,2,1,s
店要,2,2,0,d
吸烟,2,2,-1,e
雅致,2,2,1,e
激素,2,2,0,d
差太多,2,2,-3,g
缺点,2,2,-1,g
香,2,2,1,t
预定,2,2,0,d
豆腐,2,2,0,d
提前,2,2,0,d
差别,2,2,0,d
上鱼,2,2,0,d
差评,2,2,-1,g
才能,2,2,0,d
等到,2,2,0,d
菜市场,2,2,0,d
很早,2,2,0,d
人要,2,2,0,d
鱼要,2,2,0,d
特,2,2,2,g
适宜,2,2,1,g
大桌,2,2,0,d
还会常来,2,2,1,b
有个,2,2,0,d
声音,2,2,0,d
椅子,2,2,0,d
爱,2,2,2,g
遇到,2,2,0,d
园区,2,2,0,d
回,2,2,0,d
冷气,2,2,0,e
查,2,2,0,d
快餐店,2,2,0,d
隔间,2,2,0,e
烤鱼,2,2,0,t
全家,2,2,0,c
客气,2,2,1,s
层高,2,2,0,d
面积,2,2,0,d
片得,2,2,0,d
纸巾,2,2,0,s
桌椅,2,2,0,d
包间,3,2,0,e
捞鱼,2,2,0,d
招牌菜,2,2,0,t
过程,2,2,0,d
细腻,2,2,-1,g
制冷,2,2,0,e
貌似,2,2,0,d
三人,2,2,0,d
队,2,2,0,d
不如意,2,2,-1,g
重点,2,2,0,d
不时,2,2,0,d
贴心,2,2,1,s
出现,2,2,0,d
熟悉,2,2,0,d
餐位,2,2,0,d
满分,2,2,3,g
工作餐,2,2,0,c
不得不,2,2,2,g
收银,2,2,0,s
石路店,2,2,0,d
催促,2,2,-1,s
蟑螂,2,2,-3,e
厚,2,2,0,d
蛮快,2,2,1,g
好大,2,2,1,g
停,2,2,0,d
待,2,2,0,d
当然,2,2,0,d
不像,2,2,-1,g
休息,2,2,0,d
更加,2,2,0,d
标志,2,2,0,d
愉快,2,2,1,g
抽,2,2,0,d
条件,2,2,0,d
不去,2,2,0,d
靠里面,2,2,0,d
全家人,2,2,0,c
蓝莓,2,2,0,d
以为,2,2,0,d
偏小,2,2,-1,g
证明,2,2,0,d
皮,2,2,0,d
扔,2,2,0,d
可惜,2,2,-1,g
桐泾路,2,2,0,d
味儿,2,2,0,t
涨价,2,2,-1,p
忽略,2,2,0,d
装,2,2,0,d
招呼,2,2,0,s
